"","N","S","alpha","H","D","UniqueCounts","J","HD","sample.no","sample.name","eco","lat","long","form"
"50",543,59,16.8377998253958,13.0651450672598,4.70092323419481,17,0.630269626647928,1.02218908018038,"50","Igapó","Neotropic","-1.45001","-48.500011","trees"
"51",396,82,31.4103008137154,39.5645178497854,24.2737430167598,14,0.834619247638487,0.488537470846993,"51","Mucambú","Neotropic","-1.45001","-48.500011","trees"
"52",225,76,40.3523727015872,45.5244659553274,33.8255033557047,12,0.881663587832993,0.297034839624852,"52","Alto Solimões","Neotropic","-3.35001","-64.716675","trees"
"53",240,6,1.11620810854988,5.18754831507084,4.68015665796345,6,0.918795869387145,0.102929615968911,"53","Beech-Podocarp Forest (below 150 ft)","Australasia","-45.266678","167.03334","trees"
"54",160,6,1.23070667800549,4.57031203141033,3.95522388059702,6,0.84809457233559,0.144544274187955,"54","Beech-Podocarp Forest (1,000-1,300 ft)","Australasia","-45.266678","167.03334","trees"
"55",5,1,0.375883481964571,1,1,1,NA,0,"55","Barouk (B1)","Palearctic","33.700001","35.700001","trees"
"56",6,1,0.342665215818525,1,1,1,NA,0,"56","Barouk (B2)","Palearctic","33.700001","35.700001","trees"
"57",3,1,0.525261521936032,1,1,1,NA,0,"57","Barouk (B3)","Palearctic","33.700001","35.700001","trees"
"58",10,1,0.276628983975221,1,1,1,NA,0,"58","Ain Zahalta","Palearctic","33.700001","35.700001","trees"
"59",14,3,1.17127528394623,1.66385524109861,1.37878787878788,2,0.463436782324667,0.187932579592262,"59","Qammoua (Q1)","Palearctic","34.5","36.200001","trees"
"60",9,3,1.57578437725272,1.98127168926922,1.71428571428571,2,0.622365972874449,0.144742405116067,"60","Qammoua (Q2)","Palearctic","34.5","36.200001","trees"
"61",19,6,3.02016296398901,4.62532951040065,4.88571428571429,3,0.854772998397167,-0.0547678810946653,"61","Ehden (E1)","Palearctic","34.316677","36.000011","trees"
"62",15,6,3.706476328795,4.86550222667393,5.52631578947368,4,0.883025858156563,-0.127351428065832,"62","Ehden (E2)","Palearctic","34.316677","36.000011","trees"
"63",18,8,5.51840339359667,6.21629981037494,6.95454545454546,3,0.878685362065274,-0.112220624089601,"63","Ehden (E3)","Palearctic","34.316677","36.000011","trees"
"64",15,6,3.706476328795,4.88800726190538,5.25,4,0.885601407320416,-0.071443369075485,"64","Ehden (E4)","Palearctic","34.316677","36.000011","trees"
"65",14,5,2.78237949827357,3.65596894679598,3.64,3,0.805474476384399,0.00437747814240695,"65","Ehden (E5)","Palearctic","34.316677","36.000011","trees"
"66",17,7,4.45121571237551,5.36967821341831,5.66666666666667,4,0.863743880737728,-0.0538330716761385,"66","Ehden (E6)","Palearctic","34.316677","36.000011","trees"
"67",17,6,3.30500155708667,4.37998546040185,4.25,4,0.82435473633983,0.0301264219035622,"67","Ehden (E7)","Palearctic","34.316677","36.000011","trees"
"68",17,6,3.30500155708667,4.63478958180451,4.85714285714286,4,0.855913322438922,-0.046859575242465,"68","Ehden (E8)","Palearctic","34.316677","36.000011","trees"
"69",9,1,0.287851033885111,1,1,1,NA,0,"69","Tannourine (T1)","Palearctic","34.200001","36","trees"
"70",9,2,0.797217306428163,1.41741118113173,1.28571428571429,2,0.503258334775646,0.0975176675621259,"70","Tannourine (T2)","Palearctic","34.200001","36","trees"
"71",7,1,0.319257771982293,1,1,1,NA,0,"71","Hadeth (H1)","Palearctic","34.200001","36","trees"
"72",9,2,0.797217306428163,1.41741118113173,1.28571428571429,2,0.503258334775646,0.0975176675621259,"72","Hadeth (H2)","Palearctic","34.200001","36","trees"
"73",10,3,1.45308827419241,1.894645708138,1.60714285714286,2,0.581671865717887,0.164573880055061,"73","Hadeth (H3)","Palearctic","34.200001","36","trees"
"74",9,1,0.287851033885111,1,1,1,NA,0,"74","Hadeth (H4)","Palearctic","34.200001","36","trees"
"75",194,20,5.5954368943627,9.29570992591581,6.80516175936023,12,0.744243073762652,0.311871588956106,"75","Marapamanda","Australasia","-5.40001","143.400009","trees"
"76",270,24,6.36434470557951,6.30615368910189,3.57783251231527,11,0.579450830922043,0.566768759139764,"76","Andyoko A","Australasia","-5.40001","143.400009","trees"
"77",315,26,6.7210562727364,6.12433569723089,3.56304034582133,11,0.556235910079695,0.541656082840738,"77","Andyoko B","Australasia","-5.40001","143.400009","trees"
"78",209,29,9.14160916290881,11.0170940773549,5.89850746268657,10,0.712574182595899,0.624748727128444,"78","Kabanunta","Australasia","-5.40001","143.400009","trees"
"79",1039,93,24.7219622067043,31.0164891550766,13.8779339098209,24,0.757737138807084,0.80421888106085,"79","Lopé Reserve Site 1","Afrotropic","-0.166677","11.583343","trees"
"80",1389,149,42.3150451723222,52.1885403034402,28.5992404913072,30,0.790348795643859,0.601482775145347,"80","Lopé Reserve Site 2","Afrotropic","-0.166677","11.583343","trees"
"81",1527,180,53.0292090509499,60.5590050667697,25.8738840772818,32,0.79022766757758,0.850384056902515,"81","Lopé Reserve Site 3","Afrotropic","-0.166677","11.583343","trees"
"82",1325,158,46.7626092835443,61.7384682913559,34.8601065098164,30,0.814386136527536,0.571564114304071,"82","Lopé Reserve Site 4","Afrotropic","-0.166677","11.583343","trees"
"83",1361,122,32.4475827174732,32.6426793773969,13.676774841875,28,0.725563144507131,0.869921488268658,"83","Lopé Reserve Site 5","Afrotropic","-0.166677","11.583343","trees"
"89",608,26,5.51897598341718,13.8586428032441,9.50489337591429,18,0.806884951518249,0.377102308929689,"89","Swampy Gallery Forest (Plot 1)","Neotropic","-12.816677","-51.766678","trees"
"90",201,25,7.52637553330825,12.7981359762201,8.7505441880714,12,0.791984429398586,0.380183642105076,"90","Swampy Gallery Forest (Plot 2)","Neotropic","-12.816677","-51.766678","trees"
"91",240,26,7.41162176581913,14.8813371023576,10.4101633393829,16,0.828737839068742,0.357325311270732,"91","Swampy Gallery Forest (Plot 3)","Neotropic","-12.816677","-51.766678","trees"
"92",66,14,5.43489647412069,9.95126250160784,9.32608695652174,8,0.870651577713172,0.0648839052661141,"92","Swampy Gallery Forest (Plot 4)","Neotropic","-12.816677","-51.766678","trees"
"93",87,12,3.77300258409481,6.85495117784688,5.46929824561404,6,0.774665394786621,0.225820874140326,"93","Swampy Gallery Forest (Plot 5)","Neotropic","-12.816677","-51.766678","trees"
"94",427,57,17.6726702304342,28.5430089619705,19.5635620563562,18,0.828931372400815,0.377743278885486,"94","Mount Pangrango","Indomalaya","-6.75001","107.016678","trees"
"95",5441,9,1.05254538307149,4.12108394541938,3.65994542053024,8,0.644502267503126,0.118667987428139,"95","Missouri River Floodplain","Nearctic","47.166676","-101.000008","trees"
"96",18,4,1.59443447850297,2.82896111314755,2.46774193548387,4,0.750136172804204,0.13660601008318,"96","North Stradbroke Island","Australasia","-27.583344","153.466675","trees"
"97",920,34,6.94809066587439,14.9967685215818,10.3564516524168,20,0.767883693994567,0.370225072428612,"97","Abner's Hollow","Nearctic","38.733341","-83.433342","trees"
"98",104,34,17.5833475472201,23.0983916457612,19.9850746268657,7,0.890369253926723,0.144777263078933,"98","Gola Forest","Afrotropic","7.62501","-11.12501","trees"
"100",2453,9,1.17770539556858,6.1985880875634,5.20309412835338,9,0.830284513072611,0.175068064991045,"100","Chiricahua Mountains","Nearctic","31.85001","-109.28334","trees"
"101",113,12,3.39489922023889,3.07206658190767,1.7916194790487,6,0.451667063205121,0.539230541124983,"101","Kayano-Daira","Palearctic","35.833344","138.500015","trees"
"102",394,126,64.0441452460125,84.4971128991935,66.9152981849611,14,0.917381875636492,0.233289753492404,"102","Fazenda Dois de Julho","Neotropic","-15.116677","-39.066677","trees"
"103",643,17,3.2033701953589,7.52543952332857,5.42380764682696,11,0.712367538992131,0.327491130678848,"103","Spruce Forests of the Allegheny Mountains","Nearctic","38.916676","-79.583344","trees"
"104",540,5,0.761574526353471,2.45261365383527,1.92263485394951,5,0.557433279336327,0.24345768838147,"104","Mount Rogers","Nearctic","36.666676","-81.500008","trees"
"105",1408,276,102.637030705001,97.2135959757319,35.4786346215839,29,0.814338814495601,1.00797990432169,"105","O Deserto (terra firme)","Neotropic","-3.483343","-51.666676","trees"
"106",220,40,14.3066217881009,16.6604692219228,9.37718956792526,11,0.762572709657429,0.574758702424248,"106","O Deserto (várzea forest)","Neotropic","-3.483343","-51.666676","trees"
"107",593,16,3.02915160614101,7.24237939023503,5.42607190330458,13,0.714115938503237,0.288734331694149,"107","Central West Virginia","Nearctic","38.883343","-79.541679","trees"
"108",132,11,2.85277823646994,6.20276366040936,4.72200983069361,10,0.761082006005383,0.272760423859142,"108","Helmick Rock","Nearctic","39.200008","-78.800011","trees"
"109",142,9,2.13709948592636,3.38044782438013,2.31682480907197,6,0.554339417873879,0.377810561651189,"109","Pike Knob","Nearctic","38.666676","-79.433342","trees"
"110",832,4,0.545688006811294,1.5828663389143,1.28502447782499,4,0.331269717969106,0.208459574973553,"110","Sylvania Recreation Area (uncut)","Nearctic","46.208344","-89.28334","trees"
"111",635,2,0.255845820907902,1.03893850511898,1.01269802939061,2,0.055110263495767,0.0255814383043068,"111","Sylvania Recreation Area (clearcut)","Nearctic","46.208344","-89.28334","trees"
"112",168,7,1.47567420377929,4.52940326313845,3.96607294317218,6,0.776289800204611,0.132813778771686,"112","Henry M. Wright Preserve","Nearctic","35.050011","-83.200012","trees"
"113",278,8,1.53759983920489,5.78075035026949,4.85535939470366,6,0.843752256303857,0.174450367955197,"113","Changbai Mountain Reserve","Palearctic","42.066677","128.000015","trees"
"114",240,7,1.3496913438923,4.35916033067679,3.85535690280952,6,0.756601970970613,0.122815869584754,"114","Isla Grande de Chiloé","Neotropic","-42.683342","-74.000008","trees"
"115",356,86,36.0278892715716,38.8071430604365,19.241778319123,13,0.821355876821276,0.701520459985598,"115","Los Tuxtlas","Neotropic","18.533342","-95.100014","trees"
"116",60,16,7.13909461768136,6.35319277713035,3.39080459770115,6,0.666870448999629,0.627890248406113,"116","Kade site A","Afrotropic","6.15001","-0.916677","trees"
"117",67,21,10.5101600882349,11.4986030386523,6.56083086053413,5,0.802170324918654,0.561108302585645,"117","Kade site B","Afrotropic","6.15001","-0.916677","trees"
"118",59,19,9.71006324733466,8.08786998625381,4.03537735849057,5,0.709936738877947,0.695265588034298,"118","Kade site C","Afrotropic","6.15001","-0.916677","trees"
"119",62,16,6.98750363829961,7.22081610586049,4.01486199575372,6,0.713040475390996,0.586965005927528,"119","Kade site D","Afrotropic","6.15001","-0.916677","trees"
"120",42,18,11.9327899270726,12.8921772403232,11.1818181818182,5,0.884530062598411,0.142331629370526,"120","Kade site E","Afrotropic","6.15001","-0.916677","trees"
"121",37,19,15.6764559224006,13.9747068073978,12.1090909090909,4,0.89567114743707,0.143292553720522,"121","Kade site F","Afrotropic","6.15001","-0.916677","trees"
"122",41,14,7.50004319497932,8.49342680544851,5.85714285714286,5,0.810627538598511,0.371630629677381,"122","Kade site G","Afrotropic","6.15001","-0.916677","trees"
"123",54,22,13.8401103925606,15.5802986017154,12.7767857142857,5,0.888375765587599,0.198377297704608,"123","Kade site H","Afrotropic","6.15001","-0.916677","trees"
"125",841,11,1.78678934897649,4.13065175014962,2.74143350537468,9,0.591533424902271,0.409954242540811,"125","Lake Sara","Nearctic","39.130001","-88.620003","trees"
"126",77,38,29.7313112476851,24.1804599316965,19,8,0.875730422948204,0.24110588700128,"126","Maracá Island","Neotropic","3.416677","-61.666676","trees"
"127",257,41,13.7612482237925,19.3714935752394,12.1927353595256,14,0.798100192715418,0.462962270052166,"127","Beza Mahafaly Reserve (wet soils)","Afrotropic","-23.50001","44.666676","trees"
"128",386,45,13.1991633173643,23.9859551026917,17.6203462176903,16,0.834712418958484,0.308414185548599,"128","Beza Mahafaly Reserve (dry soils)","Afrotropic","-23.50001","44.666676","trees"
"129",190,29,9.53685290962604,15.4915192359851,9.77408818726184,11,0.813796252683774,0.460557906675633,"129","Beza Mahafaly Reserve (unfenced)","Afrotropic","-23.50001","44.666676","trees"
"130",395,29,7.21162735447532,9.5488035065978,4.81349746381294,14,0.670097304573727,0.684991916030967,"130","Foret de Kirindy (N5)","Afrotropic","-20.050011","44.650009","trees"
"131",391,22,5.04144812356255,8.19931771241372,4.60667029182527,15,0.680692994921252,0.576545628396636,"131","Foret de Kirindy (CN5)","Afrotropic","-20.050011","44.650009","trees"
"132",414,62,20.2141825830402,34.3319450382125,24.1568239615711,19,0.856787284605254,0.35150935708282,"132","Foret de Kirindy (CS7)","Afrotropic","-20.050011","44.650009","trees"
"133",1134,17,2.83642494491407,3.55125926189223,2.22646551186342,12,0.447302094248186,0.466886906432114,"133","Crabtree Woods","Nearctic","39.150009","-79.566673","trees"
"138",1906,24,3.8700107296768,12.7781373232943,10.0504608741385,21,0.801665366598587,0.240117197399066,"138","Shiretoko National Park","Palearctic","44.10001","145.18335","trees"
"139",352,56,18.7714969178285,31.5234087477646,23.2153325817362,19,0.857249420624679,0.305917457166949,"139","Bosque Humedo","Neotropic","10.883343","-85.78334","trees"
"140",2458,59,10.8755795936755,16.4238808725747,10.0742410088744,30,0.686379086627502,0.488754655549219,"140","Ngogo (unlogged)","Afrotropic","0.45001","30.425011","trees"
"141",1133,53,11.5265078783509,20.3420861191349,13.9937590014402,26,0.758808675370643,0.37408050314536,"141","Kanyawara (unlogged)","Afrotropic","0.45001","30.425011","trees"
"142",362,41,11.8900571942343,17.7810787177307,12.113644790508,13,0.775031384024875,0.383802412634923,"142","Kanyawara (lightly logged area)","Afrotropic","0.45001","30.425011","trees"
"143",217,39,13.867759276727,21.5930089466734,16.1516195727085,14,0.838629153591701,0.290349274644233,"143","Kanyawara (moderately logged area)","Afrotropic","0.45001","30.425011","trees"
"144",277,33,9.76321112579542,15.6729397701765,10.8411798071469,15,0.787052679104473,0.368583815374513,"144","Kanyawara (heavily logged area)","Afrotropic","0.45001","30.425011","trees"
"145",1367,42,8.19946550988921,10.5531033501251,5.7888892333447,23,0.630451648682308,0.600479542150499,"145","Kuzhanthaikuppam","Indomalaya","11.75","79.629997","trees"
"146",974,38,7.87423176230963,13.0658419555172,8.05389649018441,20,0.706512843308308,0.483845330116672,"146","Thirumanikkuzhi","Indomalaya","11.75","79.68","trees"
"147",179,10,2.28679730116764,4.76393101276751,3.56318496980541,6,0.67796546376974,0.290418371102084,"147","Alta Tarahumara","Nearctic","27.75001","-107.633347","trees"
"148",580,5,0.751945897584485,3.85174099686942,3.34003023551878,5,0.837885849864505,0.142545393565834,"148","Little Schneider Ridge (1957)","Nearctic","39.916676","-121.03334","trees"
"149",2884,7,0.862595692506636,2.89915847977562,2.3385520088113,7,0.547003938496992,0.214888577313731,"149","Little Schneider Ridge (1996)","Nearctic","39.916676","-121.03334","trees"
"150",13386,148,23.2855645990318,50.6948050691686,29.0219526251697,81,0.78560269729572,0.557770910537282,"150","Varagalaira","Indomalaya","10.416677","76.866676","trees"
"151",619,118,43.2422325632196,49.4114617679086,25.5949417904456,22,0.817530967541503,0.657787671222734,"151","Buena Vista (BV)","Neotropic","-14.366677","-67.550011","trees"
"152",567,122,47.7423156328188,58.7189252354893,38.8337366892546,21,0.847781898331497,0.413472709796962,"152","Santa Fe (SF)","Neotropic","-13.666677","-68.200012","trees"
"153",406,9,1.62988924955864,3.81936423877095,3.03197374243989,8,0.609898502387525,0.230870171528952,"153","Adirondack Park (maturing forest)","Nearctic","44.141678","-73.991676","trees"
"154",506,9,1.55488698153906,3.1176530228354,2.52395250982794,8,0.517507629492085,0.211254353417657,"154","Adirondack Park (partially cut forest)","Nearctic","43.741676","-74.325012","trees"
"155",471,10,1.79397021057581,4.45255092817765,3.26023564064801,9,0.648608895614233,0.31167769905093,"155","Adirondack Park (old growth forest)","Nearctic","44.066677","-74.258347","trees"
"156",431,4,0.609513025661628,1.46394054492979,1.21901968006735,4,0.27492848129297,0.183084808522992,"156","Kisatchie National Forest (pure longleaf pine forest)","Nearctic","31.333344","-92.416679","trees"
"157",388,19,4.18476065786045,9.92510641474224,7.75118728061119,14,0.779458350009307,0.247221519274227,"157","Kisatchie National Forest (longleaf-oak)","Nearctic","31.333344","-92.416679","trees"
"158",127,15,4.42256300612112,11.5853045745951,11.1125,10,0.904613011593556,0.041666847125582,"158","Kisatchie National Forest (mixed pine-hardwood forest)","Nearctic","31.333344","-92.416679","trees"
"159",191,22,6.42228762715386,12.5798081529404,9.5,13,0.819171214630602,0.280801202385791,"159","Kisatchie National Forest (oak-beech-magnolia-sweetgum forest)","Nearctic","31.333344","-92.416679","trees"
"160",65,5,1.26244312052665,3.67307303612472,3.37115072933549,5,0.808374551876409,0.0857745024468426,"160","Kisatchie National Forest (wet creek bottom)","Nearctic","31.333344","-92.416679","trees"
"161",21,4,1.4652220483466,2.22564297867853,1.72131147540984,3,0.577111092341761,0.256959367068912,"161","Kisatchie National Forest (upland depression)","Nearctic","31.333344","-92.416679","trees"
"165",1398,108,27.3072792621231,43.6131313116336,28.2552951388889,31,0.806333291132787,0.434077403309888,"165","Sukau","Indomalaya","5.533343","118.28334","trees"
"166",300,41,12.8401139815577,22.5524345267157,16.3985374771481,16,0.839042023536098,0.318650868763852,"166","Abai","Indomalaya","5.683343","118.383347","trees"
"167",1289,32,5.94364736288494,12.376496940414,8.56761275673444,17,0.725906224992127,0.367810130356538,"167","Suaq Balimbing Research Station","Indomalaya","3.066677","97.416679","trees"
"168",4225,7,0.818823053640968,3.1600123528868,2.34411018410691,7,0.591279066657392,0.298670059251047,"168","Dadia-Lefkimi-Soufi (nest-sites)","Palearctic","41.116676","26.458344","trees"
"169",94,8,2.08972864021669,6.44601755479747,5.9550408719346,8,0.896136039124769,0.0792244405036716,"169","Old Indian","Nearctic","42.483341","-71.883347","trees"
"170",78,9,2.62910708869253,5.33328662882257,3.90507152145644,8,0.761855521599424,0.311691577959873,"170","Eastern Talus","Nearctic","42.483341","-71.883347","trees"
"171",117,12,3.35082907073258,6.57487333964044,5.26863354037267,8,0.757877690940999,0.221484275265387,"171","Southern Talus","Nearctic","42.483341","-71.883347","trees"
"172",116,5,1.06358778301763,2.61789835636641,1.87834412841453,5,0.597955245357171,0.331981235850084,"172","Hemlock","Nearctic","42.483341","-71.883347","trees"
"173",1219,84,20.4705737078782,34.432396558237,21.7302637356204,29,0.798723585804535,0.460291950484365,"173","Oquiriquia","Neotropic","-14.75001","-62.000011","trees"
"174",1524,209,65.5503754427659,52.715402270209,17.682319600195,27,0.742167653508455,1.09234242832887,"174","Pico da Neblina National Park","Neotropic","0.40001","-66.300011","trees"
"175",242,5,0.89170501297418,1.58475969147045,1.25916490349324,5,0.286082972237225,0.229984055394847,"175","Bull Creek (1972)","Nearctic","40.35001","-124.000008","trees"
"176",245,4,0.678980060009509,1.62956199746332,1.28930681965233,4,0.352242120570733,0.23420654065303,"176","Bull Creek (2001)","Nearctic","40.35001","-124.000008","trees"
"177",174,3,0.514962000055865,1.70835427040813,1.40558460963765,3,0.487460860991427,0.1950771836178,"177","Tar Kiln","Nearctic","33.333344","-79.250008","trees"
"178",144,6,1.2648636092332,3.85390638816293,3.27898089171974,6,0.752939947208096,0.161554609796514,"178","Crabhaul","Nearctic","33.333344","-79.250008","trees"
"179",270,7,1.3131041014544,2.52765132951602,1.72755815612958,6,0.476533073107991,0.380581602319732,"179","Pate","Nearctic","33.366676","-79.150009","trees"
"180",195,33,11.3914382376856,16.4309049092653,11.3877182420229,11,0.800559975338014,0.366628579722949,"180","La Pantera","Neotropic","18.066677","-88.666679","trees"
"182",5184,29,4.05335374937336,5.22872367282539,2.5751361621425,26,0.491244990698732,0.708264797461963,"182","Ashiu Experimental Forest","Palearctic","35.300011","135.716675","trees"
"183",447,163,92.3742104755698,92.017583336566,52.2437106918239,12,0.887750577422243,0.566060167945412,"183","Réserve Naturelle Volontaire Trésor","Neotropic","4.608621","-54.2789","trees"
"184",662,53,13.5606337772949,32.1010658944954,25.1252870923289,26,0.873711382072445,0.245014442146364,"184","Isecheno (1981)","Afrotropic","0.316677","34.866676","trees"
"185",741,54,13.3964076232491,27.7133194287807,19.4460600042556,26,0.832771729505794,0.354268664359356,"185","Isecheno (1999)","Afrotropic","0.316677","34.866676","trees"
"186",583,183,91.6912635058123,110.320948228815,81.721098265896,18,0.902851776684403,0.300081619469469,"186","Aek Nangali","Indomalaya","0.61501","99.456398","trees"
"187",210,12,2.762377336264,5.15491257708288,3.48001902949572,11,0.659964493477544,0.39291239644899,"187","Amaldapani","Palearctic","28.969999","82.809998","trees"
"188",209,15,3.70301944751687,8.13440985783497,6.41747859462651,11,0.774026712499283,0.237077896153753,"188","Juphal","Palearctic","28.969999","82.809998","trees"
"189",2459,70,13.4196465138646,13.4636174423461,5.88013106256798,31,0.611979276186663,0.828411991897345,"189","Rabongo Forest","Afrotropic","2.083343","31.866676","trees"
"190",1352,49,9.96399814588922,13.7490312241581,7.14876362981691,26,0.673455649141342,0.654028942358549,"190","Bwindi (Plot A)","Afrotropic","-1","29.5","trees"
"191",450,43,11.6995112578928,25.5610852844414,19.5443993035403,19,0.861711950755359,0.268382324124947,"191","Bwindi (Plot B1)","Afrotropic","-1.02501","29.708344","trees"
"192",1142,48,10.142274967983,17.0447346754538,10.034206594896,23,0.732548201799997,0.529841424011459,"192","Bwindi (Plot B2)","Afrotropic","-1.02501","29.708344","trees"
"193",658,50,12.5738173225111,30.6233109893416,23.800154151068,24,0.874678270354668,0.252069458383476,"193","Bwindi (Plot C1)","Afrotropic","-1.02501","29.708344","trees"
"194",275,30,8.57471728556083,17.2506217862927,12.3362802881467,14,0.837307532860147,0.335303650693811,"194","Bwindi (Plot C2)","Afrotropic","-1.02501","29.708344","trees"
"195",172,18,5.06428975923219,9.02499277701767,5.66486902927581,11,0.761146969374452,0.465713928955985,"195","Bwindi (Plot D)","Afrotropic","-1.02501","29.708344","trees"
"196",319,36,10.4254005131928,14.2626623350628,8.48319116909182,13,0.741629985139266,0.51955840094931,"196","Kwa Josh Trail","Afrotropic","-4.937232","39.709175","trees"
